Table P - Full-time Non-clinical Wholly Institutionally Financed Academic Staff by Grade(#9) and Age 2000/01,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,
,Professors,Senior lecturers & researchers,Lecturers,Researchers,Other grades,Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Under 26,0,5,210,725,220,1160,,,,,,,,,,,,,,
26-30,5,100,3190,1905,360,5565,,,,,,,,,,,,,,
31-35,115,1025,7130,1485,440,10190,,,,,,,,,,,,,,
36-40,700,2495,7065,960,500,11725,,,,,,,,,,,,,,
41-45,1370,3315,5920,590,655,11850,,,,,,,,,,,,,,
46-50,2270,3765,5465,440,855,12795,,,,,,,,,,,,,,
51-55,2975,4485,4920,335,1025,13740,,,,,,,,,,,,,,
56-60,2145,2865,2395,165,505,8070,,,,,,,,,,,,,,
61-65,970,1005,750,50,160,2940,,,,,,,,,,,,,,
66 +,75,50,35,5,25,190,,,,,,,,,,,,,,
Unknown,5,0,5,5,10,30,,,,,,,,,,,,,,
Total,10635,19110,37080,6665,4755,78245,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,,,,,,,,,,,,,,
