Table Q - Full-time Non-Clinical Wholly Institutionally Financed Academic Staff by Employment in the Previous Year and Destination 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Employment in the previous year,,,,,,Destination,,,,,,,,,,,,,,,,,,,
,Non-clinical,,78245,,,,Non-clinical,,78245,,,,,,,,,,,,,,,,
,,Current institution,70355,,,,,Current institution,71120,,,,,,,,,,,,,,,,
,,UK other HEI,2850,,,,,UK other HEI,1250,,,,,,,,,,,,,,,,
,Inflow,,5035,,,,Outflow,,5870,,,,,,,,,,,,,,,,
,,UK ,2625,,,,,UK ,765,,,,,,,,,,,,,,,,
,,Overseas,1195,,,,,Overseas,435,,,,,,,,,,,,,,,,
,,Not in regular employment,70,,,,,Not in regular employment,230,,,,,,,,,,,,,,,,
,,Not known,1145,,,,,Retirement,1005,,,,,,,,,,,,,,,,
,,,,,,,,Death,70,,,,,,,,,,,,,,,,
,,,,,,,,Not known,3365,,,,,,,,,,,,,,,,
,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,,,
