Table J - Distribution of Expenditure by Activity 2001/02,,
,,£ Thousands
,,% of total
,,
,,
Academic departments,5976479,41.4%
Academic services,1095784,7.6%
Administrative & central services,1840339,12.8%
Premises,1519501,10.5%
Residences & catering operations,905928,6.3%
Research grants & contracts,2114721,14.7%
Other expenditure,973785,6.7%
,,
Total expenditure,14426537,100.0%
,,

Copyright © Higher Education Statistics Agency Limited 2003,,


,,
,,
,,
,,
,,
,,
,,
,,
