Table H - Other Income 2001/02,,,
,,,£ Thousands
,,,% of total
,,,
,,,
Other services rendered,,,
,Course validation fees,17791,0.6%
,Teaching companies,25638,0.9%
,"UK central government bodies, local authorities, health & hospital authorities",208743,7.5%
,"UK industry, commerce & public corporations",137866,5.0%
,EU government bodies,53692,1.9%
,EU other,7595,0.3%
,Other overseas,30572,1.1%
,Other sources,235289,8.5%
,Sub-total other services rendered,717186,25.9%
,,,
Residences & catering operations,,967802,35.0%
Grants from local authorities,,872,0.0%
Income from health & hospital authorities,,227303,8.2%
Released from deferred capital grants,,45858,1.7%
Income from intellectual property rights,,19874,0.7%
Other operating income,,790152,28.5%
,,,
Total other income,,2769047,100.0%
,,,
,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,
