Table K - Summary - Academic Staff in all UK Institutions 2001/02,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
,,Full-time,Part-time,Total,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mode of employment,,119900,23250,143150,,,,,,,,
,,,,,,,,,,,,
Gender,,,,,,,,,,,,
,Female,41225,12725,53955,,,,,,,,
,Male,78675,10520,89200,,,,,,,,
Principal source of salary,,,,,,,,,,,,
,Wholly institutionally financed,80410,17810,98220,,,,,,,,
,Other sources of finance,39490,5440,44930,,,,,,,,
Primary employment function,,,,,,,,,,,,
,Teaching/Teaching & research,80840,17465,98305,,,,,,,,
,Research only,39060,5785,44845,,,,,,,,
Grade (#12),,,,,,,,,,,,
,Professors,12820,990,13810,,,,,,,,
,Senior lecturers & researchers,22720,1910,24630,,,,,,,,
,Lecturers,41495,8650,50140,,,,,,,,
,Researchers,35200,5200,40400,,,,,,,,
,Other grades,7665,6505,14170,,,,,,,,
Clinical status,,,,,,,,,,,,
,Non-clinical,113695,22345,136040,,,,,,,,
,Clinical,6205,905,7110,,,,,,,,
,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,,,,





,,
,,
,,
,,
,,
,,
,,
