"Table M - Full-time Academic Staff in all UK institutions by Principal Source of Salary, Gender and Departmental Cost Centre 2001/02",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
,,Wholly Institutionally Financed,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,,
,,Female,Male,Total,,Female,Male,Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Departmental cost centres,,25095,55315,80410,,16130,23360,39490,,,,,,,,,,,,,,,,
,"Medicine, dentistry & health",6925,7730,14650,,8730,8135,16865,,,,,,,,,,,,,,,,
,"Agriculture, forestry & veterinary science",440,1180,1625,,360,375,740,,,,,,,,,,,,,,,,
,"Biological, mathematical & physical science",2690,11380,14070,,3880,7735,11615,,,,,,,,,,,,,,,,
,Engineering & technology,1395,9540,10930,,975,4575,5550,,,,,,,,,,,,,,,,
,Architecture & planning,350,1400,1745,,125,215,340,,,,,,,,,,,,,,,,
,"Administrative, business & social studies",5655,12215,17870,,1210,1380,2595,,,,,,,,,,,,,,,,
,Language based studies,2190,2715,4905,,165,155,315,,,,,,,,,,,,,,,,
,Other arts,2475,5675,8150,,345,460,805,,,,,,,,,,,,,,,,
,Education,2585,2995,5580,,250,220,470,,,,,,,,,,,,,,,,
,Academic services,260,300,560,,65,80,145,,,,,,,,,,,,,,,,
,Administration & central services,135,190,320,,20,30,50,,,,,,,,,,,,,,,,
,Premises,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
,Residences & catering,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,,,,,,,,,,,,,,,,
